CNEE	SocFast	SolFast	Equal	MedSoc-Sol	ProxOG	ProxType	Fly	HAv3.1	Age	AntP	AbdP	HedP	DufP	AAUR_APUR	HLIG_HQUA	LMAR_LFIG	LZEP_LVIE	LPAU_LOEN
ce110707	0	5	0	-0.3003	13860	intron	ASPP	LOC102655479	Bilateria	0.9033	0.0295	0.4566	0.7518	(128;3;3)	(152;6;2)	(156;2;0)	(152;6;0)	(156;2;0)
ce147170	0	5	0	-0.184	11820	intron	Dmel\\CG43367	LOC724172	Bilateria	0.8002	0.08484	0.04071	0.8091	(145;5;19)	(175;6;0)	(172;5;17)	(179;1;0)	(179;1;2)
ce137056	0	5	0	-0.2148	15726	promoter	NA	LOC408409	Bilateria	0.1937	0.02734	0.0449	0.2109	(176;4;0)	(176;1;0)	(172;4;1)	(174;4;17)	(176;1;0)
ce44287	0	5	0	-0.1041	12622	intron	NA	Adam	Bilateria	0.3203	0.02373	0.02818	0.3366	(201;5;0)	(205;2;0)	(207;4;0)	(210;1;0)	(207;4;0)
ce109075	0	5	0	-0.2076	14933	intron	Btk29A	LOC410649	Bilateria	0.6247	0.8023	0.007571	0.1009	(202;7;2)	(119;12;121)	(200;6;3)	(207;1;0)	(191;8;7)
ce149401	0	5	0	-0.2855	14123	intron	tsl	tsl	Neoptera	0.1683	0.02797	0.07492	0.5316	(125;11;0)	(141;6;2)	(142;4;0)	(147;1;0)	(144;2;0)
ce168766	0	5	0	-0.1729	16323	intron	NA	LOC100578611	Neoptera	NA	NA	0.007236	NA	(269;15;23)	(284;5;1)	(285;3;0)	(286;3;0)	(279;6;13)
ce163739	0	5	0	-0.2082	10190	intron	Dmel\\CG6154	NA	NA	NA	NA	0.04063	NA	(146;3;24)	(154;3;0)	(143;4;10)	(156;1;0)	(156;1;0)
ce59051	0	5	0	-0.281	12350	intron	FBpp0110217	NA	Bilateria	0.3128	0.01875	0.0762	0.7687	(113;3;2)	(115;1;0)	(115;1;4)	(115;1;0)	(115;1;0)
ce50976	0	5	0	-0.1356	18286	intron	NA	NA	Bilateria	0.7347	0.3243	0.2254	0.02498	(169;3;2)	(168;3;0)	(170;1;0)	(172;1;0)	(167;4;3)
ce167118	0	5	0	-0.0911	13677	intron	Dmel\\CG13698	LOC725625	Neoptera	0.1705	0.01951	0.009786	0.4125	(254;6;0)	(253;6;0)	(254;1;0)	(253;2;0)	(253;2;0)
ce159267	0	5	0	-0.3472	10870	intron	2D9	NA	Bilateria	0.6344	0.1224	0.007815	0.2069	(226;16;158)	(202;4;16)	(201;5;12)	(203;3;2)	(215;3;0)
ce14594	0	5	0	-0.2613	12790	intron	FBpp0290711	osp	Bilateria	0.07849	0.02385	0.03125	0.3751	(228;11;39)	(233;3;0)	(234;2;2)	(197;5;74)	(232;4;0)
ce163765	0	5	0	-0.2656	10190	intron	Dmel\\CG6154	NA	NA	NA	NA	0.04063	NA	(263;6;79)	(259;6;0)	(260;3;0)	(260;3;0)	(258;5;2)
ce119131	0	5	0	-0.3372	10720	intron	Shab	NA	Bilateria	0.02656	0.07878	0.6888	NA	(135;3;1)	(135;3;0)	(139;2;0)	(137;4;0)	(137;2;5)
ce167074	0	5	0	-0.0912	13675	intron	Hsc70Cb	Hsc70cb	Bilateria	0.054	0.04979	0.2065	0.5096	(213;4;10)	(192;3;44)	(230;3;0)	(237;5;8)	(223;3;7)
ce120769	0	5	0	-0.1298	13951	intron	dve	LOC100577980	Bilateria	0.9078	0.02304	0.03705	0.7011	(315;2;8)	(315;5;0)	(319;5;0)	(321;1;2)	(319;5;2)
ce133847	0	5	0	-0.1403	15628	intron	Iml1	LOC100576879	Bilateria	0.008551	0.02194	0.1175	0.06046	(190;4;18)	(191;6;0)	(194;3;0)	(197;1;0)	(190;3;4)
ce44288	0	5	0	-0.1391	12622	intron	NA	Adam	Bilateria	0.3203	0.02373	0.02818	0.3366	(273;7;2)	(278;3;1)	(272;5;11)	(287;2;0)	(285;2;1)
ce50846	0	5	0	-0.1478	18286	promoter	NA	NA	Bilateria	0.7347	0.3243	0.2254	0.02498	(227;2;0)	(226;3;1)	(218;3;0)	(220;1;0)	(220;1;1)
ce129310	0	5	0	-0.2004	10858	intron	pigs	LOC411586	Bilateria	0.4013	0.3748	0.03634	0.547	(195;3;11)	(197;5;0)	(195;4;10)	(196;4;0)	(185;7;7)
ce63571	0	5	0	-0.1176	17777	promoter	Dnz1	LOC552426	Bilateria	0.06285	0.06496	0.02172	NA	(357;5;40)	(352;4;9)	(325;7;3)	(332;2;5)	(326;3;21)
ce106280	0	5	0	-0.088	13245	intron	RapGAP1	LOC408271	Bilateria	0.6128	0.009745	0.001648	0.4328	(176;1;0)	(181;5;12)	(182;3;0)	(184;1;0)	(184;1;1)
ce119380	0	5	0	-0.1889	17362	promoter	san	LOC724486	Bilateria	0.1598	0.01257	0.3899	0.2163	(234;6;2)	(222;8;0)	(216;5;23)	(238;3;13)	(232;3;3)
ce140380	0	5	0	-0.3478	11024	intron	by	by	Bilateria	0.03657	0.0247	0.02769	0.1946	(123;1;18)	(127;3;0)	(120;3;0)	(122;1;0)	(120;3;0)
ce16305	0	5	0	-0.1539	11309	intron	ham	LOC725792	Bilateria	0.006871	NA	NA	NA	(205;7;0)	(209;3;0)	(208;4;0)	(211;1;0)	(211;1;0)
ce68334	0	5	0	-0.3863	18635	promoter	sosie	LOC102654257	Neoptera	0.01785	0.0499	0.0001352	0.4958	(143;3;0)	(141;5;0)	(140;6;0)	(144;2;0)	(143;3;0)
ce168717	0	5	0	-0.1154	16323	intron	NA	LOC100578611	Neoptera	NA	NA	0.007236	NA	(350;7;9)	(357;2;0)	(354;10;1)	(362;2;0)	(355;6;3)
ce148314	0	5	0	-0.1694	10954	intron	kug	LOC411157	Bilateria	0.3377	0.3866	NA	0.01303	(168;3;2)	(169;2;0)	(164;7;0)	(167;5;0)	(167;4;0)
ce168699	0	5	0	-0.0966	16323	intron	NA	LOC100578611	Neoptera	NA	NA	0.007236	NA	(266;12;47)	(272;5;0)	(275;2;0)	(274;3;0)	(274;3;0)
ce148290	0	5	0	-0.1593	10954	intron	kug	LOC411157	Bilateria	0.3377	0.3866	NA	0.01303	(135;7;7)	(138;4;10)	(150;3;1)	(150;2;1)	(149;4;0)
ce110966	0	5	0	-0.5326	13858	intron	Dmel\\CG43867	LOC724417	Bilateria	0.6819	0.4666	0.0446	0.6697	(170;4;10)	(170;8;4)	(174;4;0)	(177;4;0)	(174;4;0)
ce167872	0	5	0	-0.1396	12126	intron	NA	NA	Bilateria	0.1227	0.2462	0.0231	0.1206	(289;10;8)	(290;4;0)	(296;6;0)	(302;1;0)	(301;2;1)
ce167874	0	5	0	-0.234	12126	intron	NA	NA	Bilateria	0.1227	0.2462	0.0231	0.1206	(171;5;0)	(173;4;0)	(171;5;0)	(175;1;0)	(170;1;5)
ce52636	0	5	0	-0.2718	12510	intron	Fit2	LOC408836	Bilateria	0.3671	0.002505	0.3047	0.8367	(203;3;5)	(201;7;5)	(197;7;2)	(203;3;0)	(204;2;0)
ce101149	0	5	0	-0.2339	14889	promoter	na	LOC413947	Bilateria	0.009855	0.8616	0.5565	0.2787	(82;1;129)	(211;2;0)	(210;3;1)	(213;1;0)	(206;7;1)
ce58240	0	5	0	-0.1493	11496	intron	Lrch	LOC409027	Bilateria	0.8071	0.03144	0.07019	NA	(320;9;0)	(253;7;18)	(277;6;1)	(282;1;1)	(278;4;5)
ce58243	0	5	0	-0.4138	11496	intron	Lrch	LOC409027	Bilateria	0.8071	0.03144	0.07019	NA	(111;7;6)	(100;1;0)	(96;5;0)	(100;1;0)	(100;1;1)
ce173642	0	5	0	-0.0769	19333	intron	NA	LOC409091	Bilateria	NA	0.001447	0.1958	NA	(125;1;0)	(155;4;12)	(132;4;21)	(137;6;0)	(141;1;21)
ce133649	0	5	0	-0.1063	11450	intron	Ets98B	LOC413060	Bilateria	0.1336	NA	0.006937	0.02169	(163;13;64)	(173;12;28)	(208;3;1)	(210;1;0)	(209;2;1)
ce112204	0	5	0	-0.1811	11866	intron	Cda5	LOC552276	Protostomia	NA	0.03044	0.8187	NA	(112;2;0)	(125;3;2)	(127;1;0)	(127;1;0)	(129;4;0)
ce59621	0	5	0	-0.1638	15387	intron	Cirl	LOC552142	Bilateria	0.01184	0.1504	0.03651	0.2471	(362;2;0)	(386;5;20)	(377;4;23)	(373;4;11)	(387;4;10)
ce154788	0	5	0	-0.4013	10317	intron	NA	NA	Bilateria	0.002773	NA	0.8682	NA	(103;4;0)	(101;2;0)	(105;2;0)	(106;1;0)	(111;1;4)
ce133854	0	5	0	-0.2253	15628	intron	Iml1	LOC100576879	Bilateria	0.008551	0.02194	0.1175	0.06046	(175;8;0)	(182;3;1)	(182;3;2)	(181;1;3)	(185;3;3)
ce37527	0	5	0	-0.237	11145	intron	NA	LOC100578600	Neoptera	0.3516	0.001892	0.08278	0.6514	(158;14;2)	(172;2;0)	(171;3;0)	(173;1;0)	(170;4;0)
ce95535	0	5	0	-0.2597	16996	intron	Dmel\\CG8927	LOC552217	Neoptera	0.8067	0.04243	0.4552	NA	(151;9;3)	(155;1;0)	(155;5;0)	(159;1;1)	(162;2;0)
ce152591	0	5	0	-0.1876	10075	intron	NA	gro	NA	0.01623	0.1559	0.08566	0.3195	(323;5;17)	(327;4;10)	(302;13;18)	(339;2;4)	(323;5;9)
ce75405	0	5	0	-0.1358	10827	intron	Smr	LOC724535	Bilateria	0.3398	0.1469	0.03878	0.1748	(233;4;3)	(236;4;0)	(239;1;0)	(237;3;0)	(239;1;0)
ce159610	0	5	0	-0.1184	10470	intron	FBpp0089401	NA	Bilateria	0.4614	0.9649	0.7923	0.04315	(277;4;14)	(269;2;0)	(265;6;0)	(269;2;0)	(268;3;0)
ce59029	0	5	0	-0.2334	16845	promoter	Chd64	Chd64	Bilateria	0.008954	0.8705	0.695	0.3995	(173;3;0)	(174;4;0)	(157;10;10)	(171;1;5)	(175;3;0)
ce59028	0	5	0	-0.2222	16845	intron	Chd64	Chd64	Bilateria	0.008954	0.8705	0.695	0.3995	(206;6;0)	(211;1;1)	(210;2;0)	(125;5;90)	(209;3;1)
ce125639	0	5	0	-0.0838	13143	intron	Dmel\\CG15186	LOC102654281	Neoptera	NA	0.001561	0.2549	NA	(220;9;17)	(221;14;8)	(230;5;55)	(227;2;0)	(217;6;12)
ce148305	0	5	0	-0.3344	10954	intron	kug	LOC411157	Bilateria	0.3377	0.3866	NA	0.01303	(183;9;8)	(196;2;0)	(196;1;0)	(194;3;0)	(195;2;0)
ce56020	0	5	0	-0.1772	15592	intron	Rho1	LOC409910	Bilateria	0.1575	0.008228	0.02928	0.09088	(443;8;3)	(449;10;1)	(452;8;1)	(459;6;0)	(450;12;0)
ce63775	0	5	0	-0.1263	10232	intron	fas	LOC724195	Bilateria	9.741e-05	NA	0.188	NA	(171;13;2)	(142;8;29)	(176;5;5)	(185;1;0)	(182;4;0)
ce142964	0	5	0	-0.4045	13584	intron	Dyrk2	LOC412917	Bilateria	0.03424	0.01633	0.04753	0.449	(102;1;0)	(102;2;3)	(99;3;0)	(101;1;0)	(100;2;0)
ce141611	0	5	0	-0.1629	15639	intron	NA	LOC552354	Bilateria	0.1327	0.004133	0.05586	0.1223	(254;2;0)	(265;6;0)	(252;7;0)	(250;1;12)	(258;1;0)
ce61998	0	5	0	-0.1065	15459	intron	PIP5K59B	LOC724991	Bilateria	0.03103	0.01951	0.1048	0.174	(296;3;1)	(291;4;11)	(303;8;5)	(235;3;75)	(297;4;0)
ce83876	0	5	0	-0.066	14530	intron	Madm	Madm	Bilateria	0.9338	0.8298	0.0492	0.8134	(725;3;2)	(627;13;215)	(731;19;6)	(686;13;53)	(742;15;12)
ce42116	0	5	0	-0.1842	14216	intron	NA	NA	Bilateria	0.485	0.6786	0.02806	0.1719	(134;7;6)	(144;1;2)	(142;1;1)	(143;2;0)	(140;3;0)
ce77898	0	5	0	-0.1355	14494	promoter	Top1	Top1	Bilateria	0.0755	0.03531	0.1477	0.3829	(296;3;1)	(281;1;0)	(284;6;0)	(289;3;0)	(282;6;0)
ce168757	0	5	0	-0.2795	16323	intron	NA	LOC100578611	Neoptera	NA	NA	0.007236	NA	(214;9;2)	(227;9;2)	(229;5;0)	(233;1;0)	(234;2;6)
ce100396	0	5	0	-0.1228	11770	intron	pico	LOC100578818	Bilateria	0.6607	0.158	0.01531	0.1298	(209;10;86)	(210;3;2)	(213;1;2)	(214;4;0)	(211;3;0)
ce11244	0	5	0	-0.3233	11310	intron	Dmel\\CG42684	LOC724344	Bilateria	0.006771	0.6056	0.1725	0.2466	(128;1;3)	(121;1;1)	(120;3;0)	(116;1;1)	(120;2;1)
ce166316	0	5	0	-0.1348	16271	intron	ens	LOC408685	Bilateria	0.9609	0.03255	0.02859	0.7169	(153;2;0)	(139;6;0)	(140;3;0)	(141;2;0)	(142;1;0)
ce69916	0	5	0	-0.2262	16362	promoter	Dmel\\CG15385	LOC409244	Bilateria	0.3867	0.0001362	0.02284	0.1841	(163;13;0)	(176;6;3)	(178;3;0)	(210;2;0)	(181;1;0)
ce63075	0	5	0	-0.4548	12607	intron	NA	LOC410788	Bilateria	0.8427	0.7708	0.8644	0.00909	(181;38;41)	(183;5;7)	(178;5;0)	(181;2;0)	(181;2;0)
ce85071	0	5	0	-0.2319	14645	promoter	Sara	Sara	Bilateria	0.6188	0.0001911	0.01166	0.04127	(97;3;0)	(97;3;0)	(99;1;0)	(98;2;0)	(98;2;0)
ce63653	0	5	0	-0.3852	10232	intron	fas	LOC724195	Bilateria	9.741e-05	NA	0.188	NA	(109;2;0)	(108;3;0)	(107;4;0)	(110;1;0)	(108;3;0)
ce70963	0	5	0	-0.1261	10640	intron	heph	LOC552709	Bilateria	0.4641	0.6738	0.9408	0.03894	(131;1;0)	(190;3;16)	(134;2;42)	(177;1;0)	(177;3;0)
ce70962	0	5	0	-0.1725	10640	intron	heph	LOC552709	Bilateria	0.4641	0.6738	0.9408	0.03894	(188;2;2)	(189;2;9)	(187;3;0)	(189;1;0)	(189;1;0)
ce167884	0	5	0	-0.2515	12126	intron	NA	NA	Bilateria	0.1227	0.2462	0.0231	0.1206	(155;3;0)	(155;3;0)	(154;4;0)	(156;2;0)	(156;2;0)
ce54221	0	5	0	-0.1506	11624	intron	Klp31E	LOC411068	Bilateria	0.1295	0.02719	0.0498	0.4598	(137;5;0)	(139;3;0)	(139;3;0)	(139;3;0)	(137;5;0)
ce91437	0	5	0	-0.3388	14006	promoter	Mes-4	LOC100577330	Bilateria	0.5909	0.03522	0.5867	0.3057	(119;6;0)	(122;2;0)	(121;3;0)	(124;1;0)	(120;2;2)
ce47920	0	5	0	-0.1099	11109	intron	side-IV	LOC412859	Bilateria	0.01836	NA	0.2333	NA	(135;2;165)	(297;3;0)	(291;6;1)	(295;3;0)	(297;1;0)
ce111272	0	5	0	-0.2937	13747	intron	FBpp0088658	LOC412916	Bilateria	0.9037	0.03359	0.01867	0.5524	(269;9;15)	(217;11;18)	(261;4;0)	(264;1;0)	(258;6;1)
ce110957	0	5	0	-0.2976	13858	intron	Dmel\\CG43867	LOC724417	Bilateria	0.6819	0.4666	0.0446	0.6697	(222;8;5)	(220;12;84)	(261;7;22)	(255;6;3)	(271;6;25)
ce154779	0	5	0	-0.3066	10317	intron	NA	NA	Bilateria	0.002773	NA	0.8682	NA	(102;6;1)	(105;3;0)	(107;1;0)	(106;2;0)	(107;1;1)
ce10572	0	5	0	-0.2376	18333	intron	U605_DROME	LOC551347	Bilateria	0.4496	0.9292	0.035	NA	(245;3;1)	(245;5;0)	(249;1;0)	(250;3;1)	(246;4;0)
ce35627	0	5	0	-0.0548	10603	intron	Syx7	Syx7	Bilateria	0.01889	0.03761	0.000472	0.1676	(458;6;0)	(467;5;0)	(475;1;0)	(476;3;1)	(468;8;0)
ce44096	0	5	0	-0.1979	12474	intron	grh	LOC411079	Bilateria	0.2723	0.007409	0.2872	NA	(357;6;2)	(362;10;11)	(354;6;12)	(374;1;0)	(363;8;19)
ce37626	0	5	0	-0.1096	10733	intron	CG2812	LOC410771	Bilateria	0.3265	0.01164	0.01008	0.7572	(231;4;33)	(244;3;0)	(244;3;0)	(246;1;0)	(243;4;0)
ce37628	0	5	0	-0.4498	10733	intron	CG2812	LOC410771	Bilateria	0.3265	0.01164	0.01008	0.7572	(174;9;7)	(186;5;0)	(180;4;5)	(187;2;0)	(185;4;0)
ce9770	0	5	0	-0.1572	19463	intron	Ubc87F	Ube2g1	Bilateria	0.02981	0.3815	0.04971	NA	(182;3;0)	(181;4;0)	(184;1;0)	(184;3;0)	(181;4;0)
ce139425	0	5	0	-0.5369	15717	promoter	NA	LOC410442	Bilateria	0.1468	0.02378	0.1925	0.275	(238;1;0)	(232;7;0)	(230;8;9)	(168;3;2)	(235;6;1)
ce74149	0	5	0	-0.1684	13314	intron	mbo	mbo	Bilateria	0.03492	0.2207	0.3755	0.6366	(361;4;57)	(372;2;6)	(368;5;0)	(393;7;40)	(370;7;0)
ce14597	0	5	0	-0.133	12790	intron	FBpp0290711	osp	Bilateria	0.07849	0.02385	0.03125	0.3751	(186;3;11)	(196;4;12)	(203;1;0)	(205;3;0)	(197;3;16)
ce85233	0	5	0	-0.2362	17144	intron	Rac1	Rac	Bilateria	0.1398	0.009753	0.005702	0.7076	(170;3;1)	(170;3;0)	(172;5;0)	(176;1;1)	(175;2;0)
ce97719	0	5	0	-0.3599	16088	intron	iav	Iav	Bilateria	0.04748	NA	NA	NA	(102;3;0)	(106;1;0)	(106;1;0)	(107;1;0)	(105;2;0)
ce83440	0	5	0	-0.2654	14705	promoter	Maf1	LOC552145	Bilateria	0.2124	0.03246	0.006574	0.4338	(165;7;3)	(177;4;0)	(179;2;0)	(204;3;0)	(176;5;0)
ce95497	0	5	0	-0.3446	17132	intron	NA	LOC552515	Bilateria	0.00702	0.09101	0.3546	0.1125	(133;2;4)	(134;3;1)	(133;2;0)	(134;2;6)	(130;3;10)
ce95495	0	5	0	-0.2095	17132	intron	NA	LOC552515	Bilateria	0.00702	0.09101	0.3546	0.1125	(177;8;0)	(184;1;0)	(181;2;0)	(177;4;2)	(161;4;24)
ce35612	0	5	0	-0.4678	16906	promoter	Dmel\\CG32164	LOC412817	Bilateria	0.3353	0.03395	0.5263	0.4999	(149;4;1)	(148;6;2)	(148;3;4)	(153;3;0)	(140;10;5)
ce65622	0	5	0	-0.1767	18257	intron	Dmel\\CG34354	LOC551623	Bilateria	0.00273	NA	0.4426	NA	(138;8;13)	(146;6;4)	(153;3;0)	(155;1;0)	(153;3;0)
ce65626	0	5	0	-0.4376	18257	intron	Dmel\\CG34354	LOC551623	Bilateria	0.00273	NA	0.4426	NA	(104;6;6)	(107;3;0)	(106;2;2)	(108;2;0)	(106;4;0)
ce79848	0	5	0	-0.1388	10741	promoter	NA	bs	Bilateria	0.254	0.01119	0.01993	0.7487	(503;8;37)	(492;6;11)	(675;25;29)	(515;12;297)	(652;18;17)
